756,64,112
400,32,71
824,64,110
1028,128,111
256,32,49
1424,128,150
852,64,106
640,64,85
556,32,88
480,64,69
1000,128,112
776,64,105
1300,128,136
752,64,109
896,64,127
1212,128,128
1576,128,156
1440,128,157
1216,128,126
1364,128,148
572,64,83
1488,128,168
340,32,65
976,128,104
2452,256,218
1464,128,156
572,64,78
1564,128,167
1336,128,146
1356,128,163
680,64,93
908,64,117
1720,128,181
672,64,101
752,64,105
1076,128,121
1280,128,130
292,32,56
1840,128,181
624,64,87
460,64,66
2008,256,178
1420,128,162
1404,128,157
1968,256,167
688,64,92
568,64,80
1332,128,157
1332,128,142
1308,128,137
668,64,90
272,32,55
700,64,100
1396,128,144
596,64,83
748,64,101
1012,64,116
996,64,126
1020,128,114
1472,128,153
692,64,105
1236,128,133
1492,128,163
488,64,70
552,64,77
1440,128,162
1392,128,155
1148,128,117
2496,256,218
1088,128,121
1300,128,143
1252,128,151
320,32,66
2148,256,192
1320,128,158
1060,128,121
644,64,88
1140,128,126
272,32,52
456,32,74
708,64,98
2368,256,223
648,64,89
664,64,101
620,64,91
572,64,78
1116,128,118
1468,128,153
2436,256,227
1116,128,132
1264,128,143
784,64,108
540,64,77
564,64,76
1356,128,140
680,64,96
432,32,79
1152,128,125
1140,128,126
956,128,112
